2,-1,387.080,170.761,301.253,151.725,0.302,1,-1
3,-1,387.450,171.720,300.375,151.321,0.296,1,-1
4,-1,387.499,171.550,300.231,151.373,0.299,1,-1
5,-1,386.939,171.653,301.057,151.180,0.297,1,-1
6,-1,386.123,173.019,302.382,149.590,0.264,1,-1
7,-1,386.365,174.260,301.137,147.833,0.280,1,-1
8,-1,386.220,174.236,301.488,147.920,0.274,1,-1
9,-1,386.177,174.333,301.284,147.615,0.282,1,-1
10,-1,386.839,174.418,299.822,147.393,0.321,1,-1
11,-1,387.201,174.123,299.118,147.504,0.322,1,-1
12,-1,387.221,174.271,299.030,147.351,0.324,1,-1
13,-1,387.845,173.435,298.580,148.191,0.327,1,-1
14,-1,386.528,173.437,300.471,148.315,0.315,1,-1
15,-1,386.676,173.343,300.139,148.382,0.322,1,-1
16,-1,386.884,173.651,299.239,147.411,0.327,1,-1
17,-1,387.650,173.518,298.085,147.150,0.350,1,-1
18,-1,386.890,173.484,299.956,147.614,0.313,1,-1
19,-1,386.840,173.571,299.931,147.469,0.315,1,-1
20,-1,386.766,173.284,300.342,148.199,0.317,1,-1
21,-1,387.017,173.087,299.836,148.216,0.335,1,-1
22,-1,387.247,173.060,299.498,148.296,0.342,1,-1
23,-1,386.867,173.044,300.138,148.519,0.318,1,-1
24,-1,387.402,173.561,298.863,147.069,0.343,1,-1
25,-1,388.174,173.774,297.296,146.800,0.355,1,-1
26,-1,388.320,173.828,297.049,146.756,0.360,1,-1
27,-1,388.100,173.634,297.933,147.168,0.342,1,-1
28,-1,387.878,173.735,298.342,147.569,0.329,1,-1
29,-1,387.187,173.534,299.737,147.631,0.318,1,-1
30,-1,387.082,173.484,299.953,147.712,0.316,1,-1
31,-1,386.937,174.176,299.883,147.082,0.302,1,-1
32,-1,386.742,173.713,300.203,147.900,0.289,1,-1
33,-1,386.896,173.631,299.999,148.055,0.290,1,-1
34,-1,386.977,174.318,299.245,146.953,0.286,1,-1
35,-1,387.069,173.934,299.272,147.822,0.281,1,-1
36,-1,387.568,174.626,298.389,146.607,0.277,1,-1
37,-1,387.712,174.698,298.191,146.363,0.283,1,-1
38,-1,387.634,174.480,298.350,146.594,0.282,1,-1
39,-1,387.996,174.729,297.547,146.264,0.288,1,-1
40,-1,387.968,174.765,297.473,146.421,0.289,1,-1
41,-1,388.057,174.785,297.209,146.237,0.296,1,-1
42,-1,387.926,175.367,297.227,145.233,0.299,1,-1
43,-1,387.883,175.449,297.314,145.128,0.291,1,-1
44,-1,387.716,175.485,297.610,145.123,0.286,1,-1
45,-1,388.397,175.665,296.541,144.672,0.285,1,-1
46,-1,388.246,175.358,296.671,144.914,0.286,1,-1
47,-1,388.161,176.247,296.029,143.554,0.298,1,-1
48,-1,388.145,176.242,296.080,143.453,0.296,1,-1
49,-1,387.846,176.048,297.054,143.878,0.291,1,-1
50,-1,388.027,176.739,296.129,142.216,0.302,1,-1
51,-1,388.064,176.295,296.424,142.953,0.303,1,-1
52,-1,387.885,176.261,296.808,142.926,0.300,1,-1
53,-1,387.779,176.285,297.348,142.878,0.289,1,-1
54,-1,387.585,176.608,297.332,142.236,0.299,1,-1
55,-1,387.551,176.631,297.329,142.277,0.303,1,-1
56,-1,389.026,176.457,294.893,142.515,0.320,1,-1
57,-1,388.714,176.286,294.922,143.019,0.314,1,-1
58,-1,387.764,176.534,296.759,142.779,0.285,1,-1
